timestamp,product_name,keyword,site,price,url,category
2025-09-21T04:16:25.784110,Handle-It Adjustable Pedestrian Gate,handle-it,Source 4 Industries,422.73,https://source4industries.com/products/handle-it-adjustable-pedestrian-gate,Demo Data
2025-09-21T04:16:25.784110,"Handle-It Safety Gate 36"" Opening",handle-it,Source 4 Industries,385.5,https://source4industries.com/products/handle-it-safety-gate-36,Demo Data
2025-09-21T04:16:25.784110,Handle-It Swing Gate Self-Closing,handle-it,Source 4 Industries,295.0,https://source4industries.com/products/handle-it-swing-gate,Demo Data
2025-09-21T04:16:25.784110,Handle-It Ladder Safety Gate,handle-it,Source 4 Industries,189.99,https://source4industries.com/products/handle-it-ladder-gate,Demo Data
2025-09-21T04:16:25.784110,Industrial Safety Gate - Adjustable,safety gate,Ace Industries,399.0,https://aceindustries.com/products/adjustable-safety-gate,Demo Data
2025-09-21T04:16:25.784110,Professional Pedestrian Gate,pedestrian gate,Ace Industries,450.0,https://aceindustries.com/products/pedestrian-gate,Demo Data
2025-09-21T04:16:25.784110,Self-Closing Safety Barrier,safety gate,Ace Industries,275.5,https://aceindustries.com/products/safety-barrier,Demo Data
2025-09-21T04:16:25.784110,Handle-It Electric Chain Hoist 1 Ton,electric hoist,Source 4 Industries,1250.0,https://source4industries.com/products/handle-it-electric-hoist-1ton,Demo Data
2025-09-21T04:16:25.784110,Yale Electric Chain Hoist 1 Ton,electric hoist,Ace Industries,1195.0,https://aceindustries.com/products/yale-electric-hoist,Demo Data
2025-09-21T04:16:25.784110,Columbus McKinnon Electric Hoist,electric hoist,Ace Industries,1320.0,https://aceindustries.com/products/cm-electric-hoist,Demo Data
